;EMISSIONS OF AIR POLLUTANTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;Quantities in thousand tonnes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Source;1990;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;1,10;1,16;1,13;1,15;1,15;1,16;1,19;1,26;1,24;1,24;1,22;1,21;1,19;1,20;1,33;1,28;1,28;1,19;1,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;0,76;0,69;0,66;0,66;0,62;0,62;0,57;0,62;0,57;0,52;0,46;0,50;0,46;0,45;0,41;0,44;0,39;0,38;0,62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Fugitive Emissions from Fuels;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,01;0,00;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;n.o.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;1,39;1,20;1,16;1,10;1,02;0,97;0,91;0,88;0,85;0,83;0,76;0,69;0,09;0,08;0,08;0,07;0,07;0,06;0,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture;2,03;1,61;1,46;1,33;1,25;1,15;0,91;0,89;0,84;0,73;0,67;0,55;0,42;0,28;0,15;0,15;0,13;0,11;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;0,41;0,36;0,34;0,33;0,30;0,29;0,27;0,26;0,25;0,25;0,22;0,21;0,19;0,19;0,17;0,16;0,15;0,14;0,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;NON-METHANE VOLATILE ORGANIC COMPOUNDS (VOCs);17,52;16,85;16,59;16,59;15,80;15,21;14,82;14,43;14,73;15,24;14,79;14,30;14,07;13,81;12,55;11,73;11,67;9,60;9,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;10,83;9,85;9,54;9,25;8,61;8,09;7,52;7,11;6,49;6,26;5,07;4,38;3,83;3,92;3,61;3,13;2,87;2,67;2,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;0,46;0,59;0,56;0,74;0,77;0,83;0,78;0,82;0,77;0,83;0,35;0,11;0,11;0,11;0,12;0,11;0,10;0,18;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;0,19;0,21;0,22;0,21;0,21;0,21;0,21;0,21;0,21;0,21;0,23;0,23;0,24;0,24;0,23;0,19;0,17;0,17;0,16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;9,95;8,80;8,52;8,05;7,39;6,80;6,28;5,81;5,23;4,97;4,25;3,80;3,23;3,31;3,00;2,57;2,36;2,09;1,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other transport;0,08;0,10;0,10;0,11;0,11;0,12;0,12;0,13;0,14;0,13;0,13;0,13;0,14;0,14;0,16;0,15;0,14;0,14;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Other sectors;0,14;0,14;0,14;0,14;0,14;0,14;0,13;0,14;0,14;0,13;0,11;0,12;0,12;0,11;0,10;0,11;0,09;0,09;0,13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Fugitive Emissions from Fuels;0,84;0,97;0,97;1,05;1,08;1,13;1,15;1,20;1,23;1,34;1,30;1,33;0,87;0,95;1,09;1,12;1,10;1,08;0,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Industrial Processes;0,28;0,36;0,37;0,37;0,36;0,34;0,34;0,31;0,30;0,29;0,30;0,27;0,27;0,25;0,25;0,25;0,23;0,23;0,23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Use of Solvents;1,38;1,43;1,43;1,44;1,43;1,45;1,46;1,49;1,45;1,47;1,51;1,51;1,45;1,43;1,46;1,35;1,36;1,44;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Paint Application;1,90;1,50;1,48;1,66;1,52;1,53;1,69;1,56;2,37;3,05;3,84;4,16;5,07;4,69;3,62;3,41;3,64;1,83;1,76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Agriculture;2,23;2,67;2,72;2,74;2,72;2,61;2,60;2,69;2,82;2,75;2,70;2,57;2,51;2,49;2,44;2,40;2,39;2,28;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Waste;0,06;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,08;0,08;0,07;0,07;0,07;0,07;0,07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;AMMONIA (NH3);5,24;6,05;6,24;6,08;5,96;5,91;5,93;6,21;6,26;6,07;6,06;5,93;5,70;5,65;5,49;5,33;5,48;5,10;4,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy ;0,08;0,14;0,15;0,16;0,17;0,19;0,20;0,22;0,23;0,25;0,25;0,32;0,32;0,32;0,32;0,32;0,31;0,30;0,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Energy industry;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Manufacturing industry and construction;0,01;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Road transport;0,06;0,11;0,12;0,13;0,15;0,17;0,18;0,19;0,20;0,23;0,23;0,30;0,30;0,30;0,30;0,30;0,29;0,28;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
